,Term,Subject,Gender,count,subject_totals,percent_subject,percent_wholeSchool,percentDifference
266,2002.0,MUS,F,374,674,55.48961424332344,54.80327031170158,0.686343931621856
267,2002.0,MUS,M,300,674,44.510385756676556,45.19672968829841,-0.686343931621856
268,2002.0,PHIL,F,112,230,48.69565217391305,54.80327031170158,-6.107618137788535
269,2002.0,PHIL,M,118,230,51.30434782608696,45.19672968829841,6.107618137788549
270,2002.0,PHYS,F,99,280,35.35714285714286,54.80327031170158,-19.44612745455872
271,2002.0,PHYS,M,181,280,64.64285714285715,45.19672968829841,19.44612745455874
272,2002.0,POL,F,174,332,52.40963855421686,54.80327031170158,-2.3936317574847195
273,2002.0,POL,M,158,332,47.59036144578313,45.19672968829841,2.3936317574847195
274,2002.0,PSYC,F,306,419,73.0310262529833,54.80327031170158,18.227755941281714
275,2002.0,PSYC,M,113,419,26.968973747016705,45.19672968829841,-18.227755941281707
276,2002.0,REL,F,75,125,60.0,54.80327031170158,5.196729688298419
277,2002.0,REL,M,50,125,40.0,45.19672968829841,-5.1967296882984115
278,2002.0,RFS,F,57,150,38.0,54.80327031170158,-16.80327031170158
279,2002.0,RFS,M,93,150,62.0,45.19672968829841,16.80327031170159
280,2002.0,SOC,F,135,184,73.36956521739131,54.80327031170158,18.56629490568973
281,2002.0,SOC,M,49,184,26.6304347826087,45.19672968829841,-18.566294905689713
282,2002.0,SPAN,F,92,132,69.6969696969697,54.80327031170158,14.893699385268121
283,2002.0,SPAN,M,40,132,30.303030303030305,45.19672968829841,-14.893699385268107
284,2002.0,SSRA,F,332,647,51.31375579598145,54.80327031170158,-3.4895145157201313
285,2002.0,SSRA,M,315,647,48.68624420401855,45.19672968829841,3.4895145157201384
286,2002.0,THTR,F,121,251,48.20717131474104,54.80327031170158,-6.596098996960542
287,2002.0,THTR,M,130,251,51.79282868525896,45.19672968829841,6.596098996960549
288,2002.0,WLIT,F,34,62,54.83870967741935,54.80327031170158,0.035439365717770954
289,2002.0,WLIT,M,28,62,45.16129032258064,45.19672968829841,-0.035439365717770954
290,2002.5,ANTH,F,60,97,61.855670103092784,56.86471548800402,4.990954615088761
291,2002.5,ANTH,M,37,97,38.144329896907216,43.12272327597036,-4.978393379063142
